工作事項,負責之音樂會幹部,負責之校友團幹部,日期
總召交接,總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html),,"September 3, 2020"
幹部組織規畫,總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html),傳承 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E5%82%B3%E6%89%BF%2029986646da0b4acb8785f087586c11ad.html),"September 4, 2020"
場地申請,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 校內社師 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E6%A0%A1%E5%85%A7%E7%A4%BE%E5%B8%AB%20440a68db8ecb4e1baf20c1fb9d121b2d.html), 客席指揮 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E5%AE%A2%E5%B8%AD%E6%8C%87%E6%8F%AE%202c955647d12e4c46a603af9ccd7d5fe7.html)",團長 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E5%9C%98%E9%95%B7%20af84ec44a3924d6581361ab528cce285.html),"September 4, 2020 → September 22, 2020"
招募幹部實際日程,總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html),,"September 6, 2020 → March 8, 2021"
指揮人選,總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html),音總 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E9%9F%B3%E7%B8%BD%20170253c3f9bf40788759129a7a567e9e.html),"September 6, 2020 → September 13, 2020"
演出想像與製作討論,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 製作 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%A3%BD%E4%BD%9C%20b650851aa9454db3861a9037b4a666d0.html)",團長 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E5%9C%98%E9%95%B7%20af84ec44a3924d6581361ab528cce285.html),"September 21, 2020"
音樂會主題選曲方向,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 副召集人（兼人事） (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E5%89%AF%E5%8F%AC%E9%9B%86%E4%BA%BA%EF%BC%88%E5%85%BC%E4%BA%BA%E4%BA%8B%EF%BC%89%2056a51dc4cb9f45479edd46af6586d31f.html), 音樂總監 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E9%9F%B3%E6%A8%82%E7%B8%BD%E7%9B%A3%20ae45f162ad1d4966a8d8c8284a5a8eb3.html), 製作 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%A3%BD%E4%BD%9C%20b650851aa9454db3861a9037b4a666d0.html)",音總 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E9%9F%B3%E7%B8%BD%20170253c3f9bf40788759129a7a567e9e.html),"November 7, 2020"
幹部招募發文,總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html),,"November 14, 2020"
確定場地時間,總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html),,"December 8, 2020"
曲目選擇,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 音樂總監 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E9%9F%B3%E6%A8%82%E7%B8%BD%E7%9B%A3%20ae45f162ad1d4966a8d8c8284a5a8eb3.html), 客席指揮 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E5%AE%A2%E5%B8%AD%E6%8C%87%E6%8F%AE%202c955647d12e4c46a603af9ccd7d5fe7.html)",音總 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E9%9F%B3%E7%B8%BD%20170253c3f9bf40788759129a7a567e9e.html),"December 9, 2020 → January 3, 2021"
一階找人,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 副召集人（兼人事） (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E5%89%AF%E5%8F%AC%E9%9B%86%E4%BA%BA%EF%BC%88%E5%85%BC%E4%BA%BA%E4%BA%8B%EF%BC%89%2056a51dc4cb9f45479edd46af6586d31f.html)",,"February 27, 2021"
團練時間確認,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 校內社師 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E6%A0%A1%E5%85%A7%E7%A4%BE%E5%B8%AB%20440a68db8ecb4e1baf20c1fb9d121b2d.html), 音樂總監 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E9%9F%B3%E6%A8%82%E7%B8%BD%E7%9B%A3%20ae45f162ad1d4966a8d8c8284a5a8eb3.html)",,"February 28, 2021"
換譜確認,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 譜務 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%AD%9C%E5%8B%99%20d678c0a005fd499fa5bc79dab913578a.html)",譜務 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E8%AD%9C%E5%8B%99%207fc74a8166524269b356cb367b0a9178.html),"February 28, 2021 → April 4, 2021"
接洽OPENTIX售票系統,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 票務 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%A5%A8%E5%8B%99%20c2ed2e6eadbc4097bb1ec7f7ac156c8f.html)",,"March 1, 2021 → March 24, 2021"
場地簽約,總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html),財務 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E8%B2%A1%E5%8B%99%20013b5af14e8a4127b30ae104779e4f7e.html),"March 5, 2021"
影片製作討論,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 製作 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%A3%BD%E4%BD%9C%20b650851aa9454db3861a9037b4a666d0.html)",,"March 7, 2021 → April 2, 2021"
主題設計討論與宣傳,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 文宣 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E6%96%87%E5%AE%A3%20cf7d8312cfb149479f61274043a3a52f.html)",,"March 8, 2021"
製作公關企劃書,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 公關 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E5%85%AC%E9%97%9C%20669d853122bc48af9d820791d02419fd.html)",公關 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E6%A0%A1%E5%8F%8B%E5%9C%98%E7%B5%84%E7%B9%94%20140cf9e86f4d4bd5b610c7eee5f07ffd/%E5%85%AC%E9%97%9C%202ba9759c43e145618d06aabeeac0425a.html),"March 8, 2021"
音樂會標題,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 文宣 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E6%96%87%E5%AE%A3%20cf7d8312cfb149479f61274043a3a52f.html)",,"March 28, 2021"
家長會贊助,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 校內社師 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E6%A0%A1%E5%85%A7%E7%A4%BE%E5%B8%AB%20440a68db8ecb4e1baf20c1fb9d121b2d.html), 校內總召 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E6%A0%A1%E5%85%A7%E7%B8%BD%E5%8F%AC%208b6b3e3acf7647d1ac6443af7d13d713.html)",,"April 2, 2021"
設計：演出資訊,"總召集人 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%B8%BD%E5%8F%AC%E9%9B%86%E4%BA%BA%20c650aca3908442b19abdf9cfa7f9577a.html), 文宣 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E6%96%87%E5%AE%A3%20cf7d8312cfb149479f61274043a3a52f.html), 音樂總監 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E9%9F%B3%E6%A8%82%E7%B8%BD%E7%9B%A3%20ae45f162ad1d4966a8d8c8284a5a8eb3.html), 票務 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%A5%A8%E5%8B%99%20c2ed2e6eadbc4097bb1ec7f7ac156c8f.html)",,"April 7, 2021"
第一次籌備會議,,,"April 18, 2021"
聯絡串場影片受訪人,製作 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%A3%BD%E4%BD%9C%20b650851aa9454db3861a9037b4a666d0.html),,"April 18, 2021 → April 30, 2021"
宣傳影片題目發想,製作 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%A3%BD%E4%BD%9C%20b650851aa9454db3861a9037b4a666d0.html),,"April 18, 2021 → April 30, 2021"
海報、DM與邀請卡設計初稿,設計 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%A8%AD%E8%A8%88%20f2c1c248df734b77a7a7749b90df4fb3.html),,"April 25, 2021"
官方宣傳圖完成,設計 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E8%A8%AD%E8%A8%88%20f2c1c248df734b77a7a7749b90df4fb3.html),,"May 2, 2021"
票務簽約完成,票務 (2021%2014th%20Annual%20Joint%20Concert%209fc94ec64db846a3b80501688f23a1b3/%E9%9F%B3%E6%A8%82%E6%9C%83%E7%B5%84%E7%B9%94%20355d7afea625411e928f89434acb417c/%E7%A5%A8%E5%8B%99%20c2ed2e6eadbc4097bb1ec7f7ac156c8f.html),,"May 9, 2021"
第二次籌備會議,,,"May 16, 2021"
第三次籌備會議,,,"July 9, 2021"